"Order Number ","Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"16234","Combo Modest Burkini","17499169862440","15223602774308","warehouse","1","L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_0f8094a3-2572-44f7-b614-92d4724fa199.jpg?v=1717597367"
"16235","Black Waist Cover Up","57499160621700","15223617487140","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16236","Get Ready T- Shirt","10099959800200","15223670866212","warehouse","1","OffWhite / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_42fb0b67-1f39-4ca2-9b2f-4cbfe93e960d.jpg?v=1716857116"
"16236","Lined Lycra Scarf","10011030810031","15223670931748","warehouse","1","Cashmere","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11.png?v=1715848960"
"16236","Lined Lycra Scarf","10011030810023","15223670964516","warehouse","1","CrepePink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_59b4e9a4-07e2-4f20-9dff-e15c67ba5056.png?v=1715848969"
"16238","Black Waist Cover Up","57499160621700","15223753015588","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16238","No Thread Underscarf","10022323021700","15223753048356","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/YIcoWTCLmZOiWSH1fwu5N9T4mka6p2NOXNDtCEey_74a9215c-625c-4bcf-8ad4-73ad9281b008.jpg?v=1714899365"
"16240","Sleeves Printed Modest Burkini","17499169661040","15223808524580","warehouse","1","1 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_6f496e5c-089d-435e-a83c-f3c3580bf8f4.jpg?v=1719501174"
"16244","Cotton Undershirt Short Neck","10033434221740","15223965614372","warehouse","1","Large / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/mML8ckPS41o0QNbIgA9ljv8oz6T4B0yfllJw4WUM_312de947-708e-4949-82ad-a22537225843.jpg?v=1706294176"
"16244","Cotton Undershirt Short Neck","10033434200240","15223965647140","warehouse","1","Large / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/IFa9eI10A2lpjOXuVeFsXM6okWqhVrtN7vmlFdhr_fd21e4f5-c800-473b-996e-7a45a024266d.jpg?v=1706294176"
