"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Ruffles Shirt","57499767121700","14907713421604","shortage","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_e96da6b2-b6cf-4fdb-b066-53c40a4aff30.jpg?v=1715155389"
"Ruffles Shirt","57499767116200","14907713454372","shortage","1","LimeGreen / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_d0712461-79f2-4aa8-8b94-63132b3efe94.jpg?v=1715155394"
"Chemise Sleeves Basic Undershirt","10033030000160","14908086550820","warehouse","1","2XL / White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_9d9112fd-76c5-41c8-ae8a-730701077171.jpg?v=1716821095"
"Printed Gradient Scarf","60011010313154","14908998877476","shortage","1","200 X 105 Cm / 13 / Cotton ","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/VvDmq9iTwfbIjj3hyQJVAEtmOHh2Jl2db0P7yas7_14469c82-c524-4308-8532-1156eafd4951.jpg?v=1706296190"
"Classy Linen Scarf","10011030979014","14910290460964","shortage","1","Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_5cdaae68-51df-4c33-aa0c-4829a13b8be1.jpg?v=1714211951"
"Freedom Shirt","57499454121740","14910290657572","shortage","1","Black / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_517b8146-aebe-4c35-9fa5-86b57778e847.jpg?v=1716480249"
"Chemise Sleeves Basic Undershirt","10033030021760","14902123626788","warehouse","1","2XL / Black / Cotton","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_3243012f-98c8-4434-9fa7-dacb884e2090.jpg?v=1716821097"
"Pure Cotton Kuwaiti Cap With Tie Back","10022322500200","14911004573988","warehouse","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_5c3719c5-ca97-433c-b355-11e9cba7e002.jpg?v=1713709918"
"Opulent Linen Scarf","10011030978297","14911063884068","warehouse","1","Bisque","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_0b66d7ca-7225-4ff1-ab37-bf83d3fbf1bc.jpg?v=1711889049"
"Bubbly Cover Up","10099090041217","14911069880612","warehouse","1","4 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_3d703663-b329-43af-9b85-187fca671ae0.jpg?v=1711880867"
"Summer Bloom Scarf","10011001015304","14911071519012","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_992f1c1f-04c9-4cec-8d66-53ca929e82e1.jpg?v=1717407262"
"Plain Viscose Isdal","57066060161113","14911071551780","warehouse","1","Beige / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_8492bf4f-52a8-45f2-8c9a-5c0c02dadb39.jpg?v=1711881150"
"Plain Viscose Isdal","57066060161083","14911071584548","warehouse","1","Maroon / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/KdqgqteRH8njl1hAUoBhoj4FepgUiu8pIlzfH9lI_d21f4fc1-e1d2-4966-9c08-13a1e04a7461.jpg?v=1711881150"
"Chiffon Wavy Scarf","10011020015002","14911071617316","warehouse","1","OffWhite / 200 X 70 Cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/qYzYRzRlZ9IcS0bmJwCSWgR0LWrmcqQ87PzRcPPv.jpg?v=1709462226"
"Easy Go Shirt","10099494309200","14911085445412","warehouse","1","Yellow / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_fede6d42-ec74-49f8-a632-c5f9f447cc64.jpg?v=1715289617"
"Cotton Crinkle Scarf","10011020026096","14911097078052","warehouse","1","ChocolateBrown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2.png?v=1713083460"
"Classy Linen Scarf","10011030979002","14911108317476","warehouse","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_6a38cd34-4aab-445e-9d7e-5f010374fb9d.jpg?v=1714211914"
"Ruffles Shirt","57499767116200","14911108383012","warehouse","1","LimeGreen / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_d0712461-79f2-4aa8-8b94-63132b3efe94.jpg?v=1715155394"
"Comfy Shirt","10099353615000","14911113265444","warehouse","1","Green / Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_3eebb45f-a669-4a3c-a5cf-7adf1323302f.jpg?v=1712332868"
"Must Have Kimono","57499656403000","14911128469796","warehouse","1","Cashmere / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_d0f40eae-d738-49ab-815f-16b50fc02260.jpg?v=1715194378"
"Lined Lycra Scarf","10011030810229","14911143313700","warehouse","1","SmokeyGrey / Cotton Lycra / 200 x 65 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13.png?v=1715848984"
"Midnight Bloom Scarf","10011001015245","14911144853796","warehouse","1","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/22_6cd0f88b-5068-417a-8b17-7f7a1924fbd1.jpg?v=1717418125"
"Plain Pure Scarf (Small Size)","10011020022031","14911144886564","warehouse","1","200 X 50 Cm / GreyishPink / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020022031.jpg?v=1716467035"
"Shine Turkish Clips","0002-01-63","14911144952100","warehouse","1","LightGrey","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/iq4MJ9tXQ0SOe0r0MUDeahwqmWOI5uHBS5U4nKrU_bf5ac3fa-a447-4561-837b-379651f85758.jpg?v=1706293771"
"Leopard Lycra Scarf","10011030803217","14911183749412","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_80a7903b-5475-468c-a2b3-5c3a08cbcec9.jpg?v=1716901361"
"Dots Lycra Scarf","10011030805127","14911183782180","warehouse","1","One Size / Lilac / Lycra","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7SDoZ9JOERMknWwbBew3Jn7Y6RD5epRZ3azlaSWz.jpg?v=1711223416"
"Dots Lycra Scarf","10011030805125","14911183814948","warehouse","1","One Size / BoneBeige / Lycra","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/BPYyAJgeZzHN2x1kiZdvPEVnUumLIJ0D69krkKeE.jpg?v=1711223416"
"Dots Lycra Scarf","10011030805012","14911183847716","warehouse","1","One Size / LightCafe / Lycra","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/JnD5M2kNWb3FJNt1PUDUj9USIL7adGtq5u8lTWib.jpg?v=1711223416"
"Plain Cozzy Squared Scarf","10011130952157","14911188205860","warehouse","1","100 X 100 Cm / 37 / Cotton","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/OGwo7LXb6gqrxCGkNmGFJANvGuiyOk76I5WRAEXS_53dac0a3-de0a-4597-ae10-6f05612ddc5c.jpg?v=1706296911"
"Plain Pure Scarf (Small Size)","10011020022115","14911188238628","warehouse","1","200 X 50 Cm / Cafe / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/49ZoAGd6ZD2gW5TCuWSKLti3jSjo8qMIyByCWRul_7c428124-61bf-4adf-95d4-6aba885cf984.jpg?v=1706296757"
"Plain Pure Scarf (Small Size)","10011020022012","14911188304164","warehouse","1","200 X 50 Cm / LinenBeige / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/bh4ohF4AofiTCM4i96MUqfbbaIiG6REhWZlG5naO_e3e47d1b-eeff-40de-a04f-07baf851d163.jpg?v=1706296757"
"Pure Chiffon Crinkle Scarf","10011020013215","14911188369700","warehouse","1","Navy / Chiffon Crinkle / 200 x 70 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_ca1d1c1f-64c0-43fa-8d2c-45e483deef03.jpg?v=1711880827"
"Plain Cozzy Squared Scarf","10011130952132","14911188402468","warehouse","1","100 X 100 Cm / 2 / Cotton","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/OL1W155PnPvETQcnjyzaAOLYDEtNP6iU8au8x2qy_4e38836a-c83e-4217-85fa-b078a6f53e8c.jpg?v=1706296910"
"Girly Chiffon Square","10011120030233","14911188435236","warehouse","1","100 X 100 cm / Chocolate / •100% Delicate Chiffon.","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Few83Pb25PhxrU67c1KtqRKkmgt0ZyPeZlQ2OSAL_447900f5-df72-4c3b-8d5e-a5bb420484b6.jpg?v=1706296399"
"Girly Chiffon Square","10011120030217","14911188468004","warehouse","1","100 X 100 cm / Black / •100% Delicate Chiffon.","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/9opomw2iUv17iqbJN7JYhj2QIFpzTXdmXxUmdLdc_0568def0-fa82-4337-8877-a0759ad73616.jpg?v=1706296399"
"Linen Pleats Blouse","57499767001200","14911218614564","shortage","1","Cafe / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_4d06c262-2a58-4f07-be67-a2d49809a68a.jpg?v=1715278493"
"Plain Electronic Counter","10088484343105","14912403767588","shortage","1","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/1_69a6da9d-c5bc-45f2-b58c-9d3e3586815b.jpg?v=1709746261"
"Yura Basic Dress","57499262116200","14912832536868","warehouse","1","Olive / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_220b2fb6-0e40-482d-b959-c9693191afb7.jpg?v=1717081338"
"Freedom Shirt","57499454121720","14908477669668","shortage","1","Black / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_517b8146-aebe-4c35-9fa5-86b57778e847.jpg?v=1716480249"
"Workaday Shirt","10099489420700","14906258030884","branch","1","RoyalBlue / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/19_5c36b355-c869-4442-9435-89eab6bcdbe5.jpg?v=1716897632"
"Lily Chiffon Scarf","10011001014433","14912928973092","shortage","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/wukE24fwAKT1u3GO7a8hzVLJCX0Fs1gZAGbNhIhx_526c6502-fb3f-4afb-a72a-c011d9e5d4db.jpg?v=1709421386"
"Body Sleeveless Round Neck","10033434400240","14913024229668","warehouse","1","Large / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/2W9A85I4dJhqXszo1x0YW56tFtLVGdsxFLFrDNFv_d0c83718-cc6f-420c-aefc-1ca363af1a11.jpg?v=1706294182"
"Pure Chiffon Crinkle Scarf","10011020013229","14913346404644","shortage","1","GreyishPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_29e0821e-8773-4f9b-97fb-6a18584bd42f.jpg?v=1711880827"
"Plain Cotton Lycra Scarf","10011030951171","14913454965028","shortage","1","LemonYellow","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/iTKTKkPnlEuka4UOT9ElCxFyOkQ2QVWdBaFsaXIU_efbb7bca-fbb5-4ad5-81c2-6fad746b6197.jpg?v=1707320422"
"Pleated Collar Extension","10055050921700","14913522827556","shortage","1","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/YLgqblk08pyq1365IAKtWHVExVArzsqOkYIYxtgS_998e3178-8ac7-4134-9744-d090c402481d.jpg?v=1706293528"
"Easy Go Shirt","10099494315700","14913522925860","shortage","1","LightBeige / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_fe068701-0cea-4db2-83af-06e4d6ecc0f3.jpg?v=1715289609"
